CauseVar,EffectVar,FStatistic,AsymptoticP,BootPValue,Lags,Significant_Asymptotic,Significant_Bootstrap
LOG_VISIBILITY,precipitation,0.113568,0.994858,0.990020,6,false,false
LOG_VISIBILITY,precipitation_24_hour,0.251059,0.958932,0.982036,6,false,false
LOG_VISIBILITY,LOG_PRECIPITATION,0.044310,0.999643,1.000000,6,false,false
LOG_VISIBILITY,LOG_PRECIPITATION_24_HOUR,1.005658,0.420154,0.856287,6,false,false
LOG_VISIBILITY,LOG_RELATIVE_HUMIDITY,2.374871,0.027804,0.720559,6,true,false
LOG_PRECIPITATION_24_HOUR,LOG_INF_B,1.560955,0.155440,0.824351,6,false,false
LOG_PRECIPITATION_24_HOUR,temperature,1.926523,0.073808,0.790419,6,false,false
LOG_PRECIPITATION_24_HOUR,dew_point_temperature,1.760247,0.104274,0.762475,6,false,false
LOG_PRECIPITATION_24_HOUR,relative_humidity,2.263959,0.035585,0.750499,6,true,false
LOG_PRECIPITATION_24_HOUR,wind_speed,0.984714,0.434251,0.836327,6,false,false
LOG_PRECIPITATION_24_HOUR,sea_level_pressure,1.723199,0.112454,0.762475,6,false,false
LOG_PRECIPITATION_24_HOUR,visibility,1.658926,0.128022,0.770459,6,false,false
LOG_PRECIPITATION_24_HOUR,wet_bulb_temperature,1.439747,0.196329,0.796407,6,false,false
LOG_PRECIPITATION_24_HOUR,precipitation,0.302423,0.935758,0.974052,6,false,false
LOG_PRECIPITATION_24_HOUR,precipitation_24_hour,2.372750,0.027936,0.770459,6,true,false
LOG_PRECIPITATION_24_HOUR,LOG_PRECIPITATION,0.282855,0.945176,0.976048,6,false,false
LOG_PRECIPITATION_24_HOUR,LOG_VISIBILITY,1.149245,0.331666,0.814371,6,false,false
LOG_PRECIPITATION_24_HOUR,LOG_RELATIVE_HUMIDITY,2.194767,0.041440,0.752495,6,true,false
LOG_RELATIVE_HUMIDITY,LOG_INF_B,0.713559,0.638750,0.894212,6,false,false
LOG_RELATIVE_HUMIDITY,temperature,1.616342,0.139366,0.800399,6,false,false
LOG_RELATIVE_HUMIDITY,dew_point_temperature,3.261141,0.003538,0.706587,6,true,false
LOG_RELATIVE_HUMIDITY,relative_humidity,0.907731,0.488491,0.864271,6,false,false
LOG_RELATIVE_HUMIDITY,wind_speed,0.799197,0.570614,0.850299,6,false,false
LOG_RELATIVE_HUMIDITY,sea_level_pressure,2.184898,0.042346,0.730539,6,true,false
LOG_RELATIVE_HUMIDITY,visibility,0.652858,0.687864,0.884232,6,false,false
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,3.067414,0.005616,0.720559,6,true,false
LOG_RELATIVE_HUMIDITY,precipitation,0.714924,0.637650,0.892216,6,false,false
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,1.243800,0.281349,0.850299,6,false,false
LOG_RELATIVE_HUMIDITY,LOG_PRECIPITATION,0.579079,0.747229,0.928144,6,false,false
LOG_RELATIVE_HUMIDITY,LOG_VISIBILITY,1.101137,0.359697,0.820359,6,false,false
LOG_RELATIVE_HUMIDITY,LOG_PRECIPITATION_24_HOUR,0.724761,0.629731,0.900200,6,false,false
