CauseVar,EffectVar,FStatistic,PValue,Lags,Significant
LOG_PRECIPITATION,LOG_WIND_SPEED,0.000000,1.000000,6,false
LOG_PRECIPITATION,LOG_SEA_LEVEL_PRESSURE,0.000000,1.000000,6,false
LOG_WIND_SPEED,LOG_INF_B,2.053282,0.056696,6,false
LOG_WIND_SPEED,temperature,3.570857,0.001717,6,true
LOG_WIND_SPEED,dew_point_temperature,0.814409,0.558863,6,false
LOG_WIND_SPEED,relative_humidity,1.163456,0.324028,6,false
LOG_WIND_SPEED,wind_speed,1.127274,0.344571,6,false
LOG_WIND_SPEED,sea_level_pressure,0.723855,0.630494,6,false
LOG_WIND_SPEED,visibility,2.157113,0.045318,6,true
LOG_WIND_SPEED,wet_bulb_temperature,0.535658,0.781319,6,false
LOG_WIND_SPEED,precipitation,0.000000,1.000000,6,false
LOG_WIND_SPEED,precipitation_24_hour,0.398749,0.879999,6,false
LOG_WIND_SPEED,LOG_PRECIPITATION,0.000000,1.000000,6,false
LOG_WIND_SPEED,LOG_SEA_LEVEL_PRESSURE,0.718885,0.634490,6,false
LOG_SEA_LEVEL_PRESSURE,LOG_INF_B,1.483510,0.181041,6,false
LOG_SEA_LEVEL_PRESSURE,temperature,2.138328,0.047203,6,true
LOG_SEA_LEVEL_PRESSURE,dew_point_temperature,7.315661,0.000000,6,true
LOG_SEA_LEVEL_PRESSURE,relative_humidity,8.279203,0.000000,6,true
LOG_SEA_LEVEL_PRESSURE,wind_speed,2.130956,0.047963,6,true
LOG_SEA_LEVEL_PRESSURE,sea_level_pressure,8.689922,0.000000,6,true
LOG_SEA_LEVEL_PRESSURE,visibility,2.481500,0.022097,6,true
LOG_SEA_LEVEL_PRESSURE,wet_bulb_temperature,4.773726,0.000088,6,true
LOG_SEA_LEVEL_PRESSURE,precipitation,0.000000,1.000000,6,false
LOG_SEA_LEVEL_PRESSURE,precipitation_24_hour,0.977090,0.439667,6,false
LOG_SEA_LEVEL_PRESSURE,LOG_PRECIPITATION,0.000000,1.000000,6,false
LOG_SEA_LEVEL_PRESSURE,LOG_WIND_SPEED,1.851797,0.086720,6,false
